Date,Viewcount,Likes,Post Link,Comments,Description
7 July 2020,,1,https://digitalsocietyschool.org/event/designing-a-multi-sensory-future-course-3-2/?fbclid=IwAR0UimG_Mpe1_FBOeDz6X8Z43WDXi9p88w0_wTQZlIR507e42Wj8VVeTEv4,0,"We perceive the world through our senses, and, without the rich palette of information from all our senses, it would be very difficult indeed to make sense of the world. However, our (digital) cultural, technology, and design practices are all highly visual. In other words, in many cases, the technology that we interact with does not build upon our capabilities for multi-sensory perception. New developments do make it possible to design technology that is more multi-sensory. There are examples of 3D audio interfaces, haptic feedback, and spacial interactions through AR and VR. However, thinking about, designing, and applying these technologies in a meaningful and responsible ways is not easy. In the course Designing a Multi-Sensory Future we will help you to develop a multi-sensory mindset for technology interaction, and we will provide you with the tools to start designing straight away."
30 June 2020,,4,https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2CHkvyD%3Ffbclid%3DIwAR2M5lLszGMw0RUftA77qPMqzzRJDo20SauILeJOaw5nPsLV0tEJrRuKJeI&h=AT1JEjJcMfw-t0_e-8_FJ_Y27s0pXAtvyOlW8hREHnf6TcE3lfN7eVe_YIfn4XOuDaTyxxaRu1Asve8UDlGXaPgWW7eblNegMKxBzDrMGkgnBDpxxB3jb8laYGsj3_D16WI&__tn__=H-R&c[0]=AT2orR0jwcrjfqIL5pnwNyNbfmP6AiasYAM5VCiWvDmREbBg64TT4SybqqOQ1sISGbMtYzkL2zzW0qa4QBNgPubZLOOy_R9EmecgbNwUMCyMo7bibW5KwuwDj_o36eCAFDClr959cNJebyvc1ZSKlm1tOR_DVRULeGRsXUFqUydlkqY,0,"What does Responsible Design mean? Last month we organised a webinar about this important subject. We invited experts Theo Ploeg, Prof. Dr. Peter-Paul Verbeek and Olina Terzi to share their perspective on Responsible Design. Find the replay on YouTube"
18 June 2020,,6,https://www.facebook.com/digitalsocietyschool/videos/2630854397181552,0,"In less than 20 minutes we are live! Showcase 2, are you ready for it? Yesterday was amazing! We are so proud of all our trainees, project partners and colleagues. One of them is Pari and she is ready for today! Join us online via the link in the comments"
17 June 2020,,1,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1383521541845439/,1,Yeeeeehaaaa! In 5 minutes we start our showcase. Host Marco and our trainees are ready to go live! The doors are still open for you. Sign up here:https://hopin.to/events/dss-showcase-june-17
17 June 2020,,3,https://www.facebook.com/watch/?v=1460439150820344&__cft__[0]=AZUyLZ1_uQp3ZkY78sYWGtTvXfrphmKwVxywt8F89uZPxoR1J7iGtvMvHcTQCDIyIKszzI8O8Tr5V8R6_G4cVPqryLBEy6dNNGmLuNtFt3YQdVL42WfAvapzVQQwqw7ZZVh0KpnsCCrPUQCAUIsrBSDFDD77aLMpNqMwP5AdiEOCFA&__cft__[1]=AZXCldUgzUnY_rlAnEN5jhAuH_Zjz8J7r-fzxkz5T-yQHsq7ZVwO-r27o0S0X92upYUqFR4a_9c2XDLhKJEq0PTodt4P9zxBdR1L3-Dm2JugklNVnsXuXxK6dMqY7VFus_mClNcZ0kc4DX_M1Ek00eukBqXBdVqRo6_UuZJ8ChjlAdzVf2ar-AyRDu9s5VzOG4g&__tn__=FH-R,0,Want to learn more about #DigitalTransformation? Join our #showcase this afternoon 15:00 CET or tomorrow morning 10:00 CET. Here's a #sneakpeak of what to expect
11 June 2020,,1,https://l.facebook.com/l.php?u=https%3A%2F%2Fdigitalsocietyschool.org%2Fevent%2Fonline-showcase-17-18-june%2F%3Ffbclid%3DIwAR3Zgqd_naRMVKtdbL74YjR37cFLHYaTM5XrxBHWtPp6_jquQFpcWLMxnZc&h=AT2uZ8xCPxdvg7MjbCBFExUYGr8Fs7nrnbuMRugbhRvxam03ChAEMgT2RthK46ZNgq70KG_XzP2DyUSNXMLTemhMad9hZSjeU9c3xlM9k7_sZKNSQZ1tf4h9d8D-vxrUPyU&__tn__=H-R&c[0]=AT29IdeZoauvEWS8rWVL78Z_BbUP_p3lqNJI4BVj-10nMAlZ4rTsJVn2gxmKBVX-JznVQIFkSrjVn9If2ScIw9uOnYMSkxGaey6_863c12jh8wGDYWiZdV6DN-v0dVdUU4pFd_CvtHP3BdyNIcP4laQ2XmAp_1pqwYqdmC2DWlnA2Mw,0,"Wondering what Digital Transformation Design is all about? Meet talented young professionals, and find out what solutions they came up with. Join us 17 & 18 June in online interactive sessions"
11 June 2020,,0,https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2MJtTDp%3Ffbclid%3DIwAR1knqRK1ml2vCCbmSQNDGXqySmLVYgjBpkaDQhmPXpd4tRZaJSeEEOeDhY&h=AT2C-d0w3oY5wC7EgIGsbmUoKyTTvkr0U6aXBzu6MgZJ8Yd0Nf1ovMl2i9flTxiyfY8R89i1QA38IEZKuNV5_fwOUR_JSRNQtByqBpBRO30Ik5eT3KIOVmkOmxMCPeH-Az0&__tn__=H-R&c[0]=AT0u_3-aJ9_HIFdVllTeIsV9IO9-mSR2m64kdKXjmNiZ9AzZwJVNBLCKMy9PuMLNVPl1UTn7RPivoLGsALJsjuBoxBC2ebyVHvPU23BFE9es5-K9sSfy6_MGA68alg5RaCq3fyEpLshTtnZqVwj5bPUbmjLqykN5j3xmfI7gMEd4skE,0,"Amsterdam University of Applied Sciences (AUAS), Faculty of Digital Media and Creative Industries, is currently looking to fill the following vacancy for the Digital Society School (DSS). PROJECT MANAGER (0,8 FTE) for the Track Educational Technology for Social Change at Digital Society School. Apply before 14 June 2020"
10 June 2020,,2,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1377688215762105/?__cft__[0]=AZU8p3wHHhovlkqfR-qph6D3_7oj3LQSRPqVnIQzdby_pgX-xiFmHMueazBYE3KkFhIQmeSxmzyZjp11aZaB2WCF0HcuFGeVPo4pYnCIkOKhvg6nSMcpTEYck8USNYpzYYqrOG2H0mQLkfv9u-90L8wl&__tn__=EH-R,0,"Get a chance of winning a gift card by writing a poem! WasteLess Team invites you to the challenge of writing a sustainable poem! Imagine the day that your campus finally becomes zero waste and write a poem between 50 to 150 words to describe it. Tell us, How will the campus look like? What do students do with their waste? How are you feeling about the campus in that day? What did you do to make it happen? Just let your imagination run free and put it into words.Time is limited! Hurry up if you are in! For more details check out the website:  https://wasteless.dss.cloud/"
4 June 2020,,1,https://digitalsocietyschool.org/insight/urban-gardening-in-times-of-crisis-a-practical-guide-for-growing-food-at-home/?fbclid=IwAR3800ayPxth_UllcTgQaMTV8OR7QX5DoeaUTKZyfupPNQdv7nl2fA5oSUg,0,"We have selected some simple practices, which in addition to taking the time during the period of quarantine and social distancing, can help complement your diet, limiting the need to plunder the supermarkets. Are you ready to make your hands dirty for urban gardening? "
2 June 2020,,0,https://digitalsocietyschool.org/event/online-showcase-17-18-june/?fbclid=IwAR0YTQU2VmqArlqBJwfygZrTCuVKQ3k_wmKOtRWEIO3mKmsr87fzKMwBvWY,0,"We are so excited! In two weeks we will host our first fully online Digital Society Showcase. This year we offer you two moments to join us online, just from wherever you are. Our Trainees can't wait to show you their prototypes of the meaningful projects they worked on. Do we see you there?"
20 May 2020,,1,https://www.facebook.com/photo/?fbid=10219223194943168&set=a.16287852719955,1,"Enjoying another talk from Amsterdam University of Applied Sciences - AUAS , this time on ""Responsible Design in Times of Radical Transformation"", hosted by Digital Society School.Thanks to Olina Terzi!"
20 May 2020,,0,https://www.facebook.com/digitalsocietyschool/photos/pcb.1360394880824772/1360394750824785/,0,Yeehaa! We can't wait to share our knowledge with you in our free webinar today. Join us from 17:00 – 18:30 CEST today. Sign up here: https://digitalsocietyschool.org/.../responsible-design.../
18 May 2020,,8,https://digitalsocietyschool.org/event/gephi/?fbclid=IwAR37KEixDrLrShYgosYMCuISjAW3DQA9-oibcuPMT4Qx8Un5tudcLkQsJ5c,0,Do you know about Gephi? It’s the leading visualization and exploration software for all kinds of graphs and networks. Gephi is open-source and free. And the best news: This Wednesday afternoon you can join our workshop to make Network Analysis with Gephi. Check for more info and pricing our website:
11 May 2020,,2,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1353218981542362/,0,"In these times when the global creative community is being asked by the United Nations to take responsibility and ‘design our way out of the Coronacrisis’, it is especially important to have a very clear understanding of what that means.Next week on May 20th, 17:00 – 18:30 CEST we are inviting you to join our online webinar on ‘Responsible Design’ with keynote speaker and well-known expert in ethics and philosophy of technology, Prof. Dr. Peter-Paul Verbeek.Next to Prof. Verbeek, two other experts will share their perspective on Responsible Design in these times of radical transformation: Theo Ploeg and Olina Terzi. The opening statements will be done by the dean of the Faculty of Digital Media and Creative Industries, Frank Kresin. We will end with a panel discussion with all 4 speakers and the audience, led by Marco van Hout, creative director of Digital Society School.Register for free here: https://digitalsocietyschool.org/.../responsible-design"
24 April 2020,,2,https://www.facebook.com/digitalsocietyschool/videos/554863755415370,0,"Before you start your weekend, check out this vacancy please. We can't make the digital transformation of society without you  Apply April 26 the latest.As a Software Developer you are part of the instruments team of the Digital Society School. Your role is to develop, implement and maintain tools and instruments, to work on projects with our partners and to improve the way we work, play and learn together.https://buff.ly/3aad5Ps"
17 April 2020,,1,https://digitalsocietyschool.org/event/responsible-design-in-times-of-radical-transformation/?fbclid=IwAR19y0FREBKFZexHJyY7G8D-503h2YANzufC6tu1awaf-TbpKHwErtpo6Gg,0,"The UN asked us, the creative community to design our way out of the crisis. But, what does 'taking responsibility' actually mean for design in times of transformation? Join us online, with. 4 great experts to discuss on May 20th 16:00-17:30 CET Keynote by global expert in ethics/philosophy of technology Prof. Peter-Paul Verbeek Other speakers: Theo Ploeg on Speculative Design Olina Terzi on Digital Transformation (Design) Frank Kresin, dean of FDMCI Moderated by Marco Van Hout Hosted by Faculty of Digital Media & Creative Industries and Digital Society School of Amsterdam University of Applied Sciences.Claim your spot! https://digitalsocietyschool.org/.../responsible-design.../"
15 April 2020,,3,https://www.cumuluspark.com/events/online-training-speculative-design-hyperconnected-city?fbclid=IwAR3Me6NuaA01Sw4K1_rTQsF3I3FJ7PiMZ9ExvT-epCsELP4wbcweKTEQRFI,0,The Speculative Design workshop is back! Do you remember it was sold out and then cancelled? The good news is: we are back with an online edition. Woohoo.Join us on April 16 from 3 pm to 5 pm for an interactive online training about Speculative Design! Fun to organise this together with our partner Cumulus Park. Put yourself on the waiting list  via the link below
14 April 2020,,5,https://digitalsocietyschool.org/insight/vacancy-software-developer-06-fte/?fbclid=IwAR1FXEl7qFMipyIb_S3fXXqFdwDUMjTX7xp5i68fwvSB_gSASGE_utB6o3U,0,"Pssssssst. Are you a Software Developer?  Then we might be looking for you! 👀Check out our vacancy right now, to learn more."
6 April 2020,,0,https://medium.com/@cedricwiegel/the-uncanny-how-artists-provided-a-tool-for-crisis-f89692757705?fbclid=IwAR0oOzRiqiRwSejIKaKr2rM_kucw1pShZigf2t0b4yXxqdICTtJ_fEza3PM,1,"In a world where we have achieved all things material, what is the purpose? How far can we reach with our current ideas? The uncanny reveals our desire to progress."
3 April 2020,,4,https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2yywWuF%3Ffbclid%3DIwAR1keud2K6Nuu1Pkr9Py8j1YdxB0JkuUvfjr4cIKZCh0ZRkGLCViSkUmGh8&h=AT079OaR0wz_UN1zC3hitYcHUvQnzd8-1-m0lwx--DrpEFmabiD6BLlyDKZsyKSrZg4ZtMXLkdieZiWKuI5PW30RRIajl6Aaa_uxc_KzwoSx2uqKRvlZ7LD6PqcQJaj-0Hg&__tn__=H-R&c[0]=AT0UJ_qd2K7rFSuSkak9Fbd0cVHkff1Zgy5ESX9rVnGZFgMe-Di0pxJdTzxc3rfdzM9o6-8gvnOMzPKIJ3tg5GkeGD6gzJpXqRjlhAKT0lez4Eco2lzhQLRB6an8oQouxC0uzDC51A9q5KVuCrfEtOBvboJwDkfDBIJIP-IyhjB1OiY,0,"Mask on, creators: the ‘Mask Design Challenge 2020’ is calling for entries for innovative face mask designs. The brand new global competition that seeks to tackle the problems of today invites creators to submit their masks of the future. Check out the link to find out more about the competition."
31 March 2020,,3,https://futurebased.org/topics/reading-session-5-love-the-gamification-of-love-and-the-subversion-of-intimacy/?fbclid=IwAR0qaFLxCcP7SKN-Q05RjYbv4ALtGhsWjag7f--4fSqvXs842X6ofP0YMuU,0,"What are you doing tonight? Your are still welcome to join the fifth reading group discussing ALGORTHMIC LOVE, from 7:30 tonight, theres a 5 euro fee that will go to COVID-19 relief schemes."
27 March 2020,,2,https://l.facebook.com/l.php?u=https%3A%2F%2Fdigitalsocietyschool.org%2Fevent%2Fonline-education-training%2F%3Ffbclid%3DIwAR2t4ap4gEQzfQo5IbbK8VrIuCBCa_6LbcCjlZhhiqO09_dc8SN6XSYcV_Q&h=AT1XPhnKskHj6_X47nx7UkDyUTUKUThenE8ATOFelPaUQI5x8N890TAW6DTS9GlSvZKzJ8z-45uzw3fkM-WX9pC1u45fQCIEFUuMazJXj1UR7RoFJdiB-9QVZbX_zSpX1W0&__tn__=H-R&c[0]=AT0HkMvh1VS28qmxHctlulLgsuHQYbdNuSC_vY25AaCO8kWuINfJ2d8PweSGDIWbIPD_ov0J0xjtlwZKHGvcITsA1KIuDxTcgrUf74mge7DlW0ZmB3NxpOj0YIwynG55th_O8s74ogmTQ6JkdIFFCyRZvcILO2tyYEdr-jt35ZpHYwU,0,Wow! Already more than 100 participants registered for our Online Education Training. Do you want to join this enthusiastic group of teachers? You can still buy a ticket this weekend. We will start on Monday
